::ffff:127.0.0.1 - - [07/May/2021:05:09:43 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:09:43 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:09:57 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:09:57 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:17:45 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:17:45 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:18:43 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:18:43 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:18:52 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:18:52 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:19:05 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:19:05 +0000] "GET /frontend.js HTTP/1.1" 200 2440 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:19:53 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:19:53 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:20:20 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:20:20 +0000] "GET /frontend.js HTTP/1.1" 200 2434 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::1 - - [07/May/2021:05:20:20 +0000] "GET /api/actionContent HTTP/1.1" 200 51196 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:20:39 +0000] "GET / HTTP/1.1" 200 3059 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [07/May/2021:05:21:09 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:21:09 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::1 - - [07/May/2021:05:21:10 +0000] "GET /api/actionContent HTTP/1.1" 200 51196 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:27:53 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:27:59 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:28:03 +0000] "GET /api/actionContent HTTP/1.1" 200 51196 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [07/May/2021:05:28:22 +0000] "GET / HTTP/1.1" 200 3059 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:28:22 +0000] "GET /frontend.js HTTP/1.1" 404 150 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:28:23 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:28:47 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:28:47 +0000] "GET /frontend.js HTTP/1.1" 200 2434 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::1 - - [07/May/2021:05:28:47 +0000] "GET /api/actionContent HTTP/1.1" 200 51196 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:32:39 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:32:39 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::1 - - [07/May/2021:05:32:39 +0000] "GET /api/actionContent HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:51:01 +0000] "GET /addAC HTTP/1.1" 200 294 "-" "PostmanRuntime/7.26.10"
::ffff:127.0.0.1 - - [07/May/2021:05:58:36 +0000] "GET / HTTP/1.1" 200 3822 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:58:36 +0000] "GET /frontend.js HTTP/1.1" 200 2447 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:59:11 +0000] "GET / HTTP/1.1" 200 3154 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:59:11 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:59:24 +0000] "GET / HTTP/1.1" 200 3081 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:59:24 +0000] "GET /frontend.js HTTP/1.1" 304 - "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:59:47 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:59:47 +0000] "GET /frontend.js HTTP/1.1" 200 2474 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
::ffff:127.0.0.1 - - [07/May/2021:05:59:55 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
